Date,Open,Close,Low,High,Volume,bais
2006/1/3,57.87,57.8,57.05,58.11,3697500,0
2006/1/4,57.95,59.27,57.55,59.43,4577200,2.543252595
2006/1/5,59.02,59.27,59,59.86,4590700,0
2006/1/6,59.47,60.45,59.38,60.76,5692300,1.990889151
2006/1/9,60.45,61.55,60.45,61.68,4409300,1.819685691
2006/1/10,61.35,61.3,60.64,61.52,3188100,-0.406173842
2006/1/11,60.87,61.33,60.7,61.64,2755600,0.048939641
2006/1/12,61.23,62.21,61.11,62.66,5322500,1.43486059
2006/1/13,62.02,62.33,61.87,62.49,1936700,0.192895033
2006/1/17,61.69,62.96,61.65,63.15,3623300,1.010749238
2006/1/18,62.36,62.33,61.7,62.72,3656100,-1.000635324
2006/1/19,62.05,62.51,61.9,63,2375600,0.288785497
2006/1/20,62.51,60.78,60.48,62.51,4441300,-2.767557191
2006/1/23,60.75,61.04,60.26,61.44,2710500,0.427772294
2006/1/24,60.79,61.35,60.75,61.86,3291600,0.507863696
2006/1/25,61.5,62.07,61.11,63.25,4772400,1.173594132
2006/1/26,63.3,65.17,62.3,65.44,10318100,4.994361205
2006/1/27,65.9,67.53,65.15,68.37,7588000,3.621298143
2006/1/30,66.53,67.01,66.32,68.12,5077400,-0.770028136
2006/1/31,67,67.9,66.64,68.17,5674400,1.328159976
2006/2/1,68.1,69.24,67.9,69.34,4826100,1.973490427
2006/2/2,68.75,68.39,67.99,69.1,4605500,-1.227614096
2006/2/3,68.2,68.13,67.75,68.97,3529800,-0.38017254
2006/2/6,68.5,68.7,68,68.82,3745900,0.836635843
2006/2/7,68.3,67.16,66.93,68.34,4909100,-2.241630277
2006/2/8,67.75,68.81,67.36,68.89,3569100,2.456819535
2006/2/9,69,68.45,68.23,69.75,4017700,-0.52317977
2006/2/10,68.15,68.75,67.78,68.87,3167900,0.438276114
2006/2/13,68.3,68.62,67.88,69.06,2838400,-0.189090909
2006/2/14,69,70.22,68.23,70.41,4532600,2.331681725
2006/2/15,69.93,71.6,69.9,71.65,4396500,1.965252065
2006/2/16,71.79,71.96,71.39,72,3483300,0.502793296
2006/2/17,72,72.05,71.71,72.39,4767900,0.125069483
2006/2/21,72,72.59,71.68,72.79,3956800,0.749479528
2006/2/22,72.59,73.06,72.54,73.73,5532000,0.647472104
2006/2/23,73.07,72.35,71.9,73.09,4974100,-0.971803997
2006/2/24,72.5,72.7,71.76,72.92,2924100,0.483759502
2006/2/27,73.3,73.5,73,73.99,3217900,1.100412655
2006/2/28,73.1,73.08,72.4,73.36,4444400,-0.571428571
