Date,Open,High,Low,Close,Volume,bais_self,bais_oil,bais_CVX
2006/1/3,57.87,58.11,57.05,57.8,3697500,0,0,0
2006/1/4,57.95,59.43,57.55,59.27,4577200,2.543252595,0.004753605,-0.28774543
2006/1/5,59.02,59.86,59,59.27,4590700,0,-0.00946223,-1.222203361
2006/1/6,59.47,60.76,59.38,60.45,5692300,1.990889151,0.022289444,1.821618835
2006/1/9,60.45,61.68,60.45,61.55,4409300,1.819685691,-0.010123034,-0.506329114
2006/1/10,61.35,61.52,60.64,61.3,3188100,-0.406173842,-0.002359975,0.491942324
2006/1/11,60.87,61.64,60.7,61.33,2755600,0.048939641,0.007885192,1.012829169
2006/1/12,61.23,62.66,61.11,62.21,5322500,1.43486059,0.00078235,0.08355615
2006/1/13,62.02,62.49,61.87,62.33,1936700,0.192895033,-0.001563477,0.784772082
2006/1/17,61.69,63.15,61.65,62.96,3623300,1.010749238,0.039148137,2.485089463
2006/1/18,62.36,62.72,61.7,62.33,3656100,-1.000635324,-0.009041591,-0.581959263
2006/1/19,62.05,63,61.9,62.51,2375600,0.288785497,0.016727494,0.162601626
2006/1/20,62.51,62.51,60.48,60.78,4441300,-2.767557191,0.019443614,-0.779220779
2006/1/23,60.75,61.44,60.26,61.04,2710500,0.427772294,-0.001467136,1.783376963
2006/1/24,60.79,61.86,60.75,61.35,3291600,0.507863696,-0.018072289,-0.257193377
2006/1/25,61.5,63.25,61.11,62.07,4772400,1.173594132,-0.018404908,-1.273166801
2006/1/26,63.3,65.44,62.3,65.17,10318100,4.994361205,0.00304878,-1.697682011
2006/1/27,65.9,68.37,65.15,67.53,7588000,3.621298143,0.030547112,0.265692461
2006/1/30,66.53,68.12,66.32,67.01,5077400,-0.770028136,0.008110898,0.612785691
2006/1/31,67,68.17,66.64,67.9,5674400,1.328159976,-0.007314219,-2.255144033
2006/2/1,68.1,69.34,67.9,69.24,4826100,1.973490427,-0.018420277,-1.145166723
2006/2/2,68.75,69.1,67.99,68.39,4605500,-1.227614096,-0.028524246,-0.323679727
2006/2/3,68.2,68.97,67.75,68.13,3529800,-0.38017254,0.010817493,-1.726200649
2006/2/6,68.5,68.82,68,68.7,3745900,0.836635843,-0.004586455,2.330434783
2006/2/7,68.3,68.34,66.93,67.16,4909100,-2.241630277,-0.03225311,-1.869476547
2006/2/8,67.75,68.89,67.36,68.81,3569100,2.456819535,-0.007935248,0.259785244
2006/2/9,69,69.75,68.23,68.45,4017700,-0.52317977,0.002399616,-1.710139921
2006/2/10,68.15,68.87,67.78,68.75,3167900,0.438276114,-0.010373444,-0.509666081
2006/2/13,68.3,69.06,67.88,68.62,2838400,-0.189090909,-0.012094823,0.017664724
2006/2/14,69,70.41,68.23,70.22,4532600,2.331681725,-0.026934378,-1.589544331
2006/2/15,69.93,71.65,69.9,71.6,4396500,1.965252065,-0.033551418,0.430725054
2006/2/16,71.79,72,71.39,71.96,3483300,0.502793296,0.017358098,0.607576841
2006/2/17,72,72.39,71.71,72.05,4767900,0.125069483,0.019621225,1.545293073
2006/2/21,72,72.79,71.68,72.59,3956800,0.749479528,0.024263722,1.276893476
2006/2/22,72.59,73.73,72.54,73.06,5532000,0.647472104,-0.035615096,-1.139896373
2006/2/23,73.07,73.09,71.9,72.35,4974100,-0.971803997,-0.016940539,-0.174703005
2006/2/24,72.5,72.92,71.76,72.7,2924100,0.483759502,0.059107358,0.892544627
2006/2/27,73.3,73.99,73,73.5,3217900,1.100412655,-0.007321835,-0.954032958
2006/2/28,73.1,73.36,72.4,73.08,4444400,-0.571428571,0.005900672,-1.085814361
2006/3/1,73.13,74.94,72.95,74.39,4193400,1.792556103,0.010428548,1.345609065
